timestamp,x,y,z,magnitude,session_id
1782299065332.0,0.5096924202822148,0.09681523737162351,-0.2150456032156944,0.5616085513441437,battle-room
1782299065349.0,0.15866232947558165,0.2073974265500903,-0.28577742804288864,0.38711260081922744,battle-room
1782299065366.0,-0.13454225289337335,0.18466303217262028,0.056146250113844866,0.23527527423564304,battle-room
1782299065382.0,-0.2174601900767535,-0.19167612580507992,0.498279191994667,0.5764640705601007,battle-room
1782299065399.0,-0.32060828373171385,-0.28113369389027354,0.6592343085825443,0.7851214549673766,battle-room
1782299065415.0,-0.22938334064781665,-0.18972119234502313,0.5322404983073473,0.6098284970629225,battle-room
1782299065432.0,-0.2962987489920109,0.13159049041569232,0.008215455159544945,0.32430926524777487,battle-room
1782299065449.0,-0.5785645887173712,0.2800584658741951,-0.08254910387098789,0.6480617888561334,battle-room
1782299065466.0,-0.27561120414175094,-0.03583528349101543,0.06464169125854968,0.2853493501659203,battle-room
1782299065482.0,0.1808043109178543,-0.2097805222943425,0.1777583673506975,0.32908373333203933,battle-room
1782299065499.0,0.2920922372128814,-0.18143267194926738,-0.32522330324649806,0.47329260132104356,battle-room
1782299065516.0,0.10937617438957095,0.07020254025608301,-0.5560375534802675,0.5710247849812004,battle-room
1782299065532.0,-0.03351575450226665,0.07029752506315708,-0.4667728776186704,0.47322507024699745,battle-room
1782299065549.0,0.06105382283441722,0.01149170035123825,-0.11992401801943778,0.13506072174242773,battle-room
1782299065566.0,0.2529746441155672,-0.2515191846102476,0.2636298936426639,0.4435750123873571,battle-room
1782299065582.0,0.24740071644075212,-0.14930676437020302,0.30955285590589043,0.42346498672451033,battle-room
1782299065599.0,0.13377170691229404,0.07292933487147092,0.07499065131545066,0.1698150618753806,battle-room
1782299065616.0,-0.022779110302031037,0.28694208790808917,-0.14466858317553996,0.3221546967486642,battle-room
1782299065632.0,-0.21276538332402706,0.10539251158088445,-0.006164952370524406,0.2375177813892633,battle-room
1782299065649.0,-0.22810089962184427,-0.053449266114830966,0.48282384870946404,0.5366616376629953,battle-room
1782299065666.0,-0.5001403827566653,-0.12106178987771272,0.37845804982781406,0.6387697980586209,battle-room
1782299065682.0,-0.4933199621520936,-0.09440554588139057,0.25261574767529965,0.5622203377008493,battle-room
1782299065699.0,-0.29484219350814816,-0.06316840383559465,0.25132921499609945,0.3925411324006551,battle-room
1782299065716.0,-0.5572705293413251,-0.111102121399343,0.24846622678041458,0.6201851256699821,battle-room
1782299065732.0,-0.6323054581899196,0.09779109666645526,0.1381967568129301,0.65457744739458,battle-room
1782299065749.0,-1.0597450541339815,0.22580665120482443,0.08405892391204833,1.0867907462704236,battle-room
1782299065766.0,-1.4314932310596107,0.20357260756492612,0.632002018263936,1.5779864474101024,battle-room
1782299065782.0,-1.5233151901885866,0.1824076544612646,0.6597077713131905,1.670022773675966,battle-room
1782299065799.0,-1.718884816300869,0.4290621556445956,0.39611411802768703,1.815369312183312,battle-room
1782299065816.0,-2.2157183395318687,0.6694622726082802,0.666189534547925,2.408608725078626,battle-room
1782299065832.0,-2.6100752386286854,0.7657903109848498,0.9483967028886079,2.8806915589404647,battle-room
1782299065849.0,-3.3597882750377055,0.6797770381346344,1.6192419542878864,3.7910709016295105,battle-room
1782299065866.0,-3.820349146273732,0.8537763452127576,1.5221774183303116,4.200122110124183,battle-room
1782299065882.0,-3.4295848648414013,0.6913093627572059,1.6276538088023662,3.858654934234705,battle-room
1782299065899.0,-3.138209762921929,0.8961331394270062,1.6967612472981213,3.6783710865015355,battle-room
1782299065916.0,-3.170423933306336,1.197727729804814,2.3896090716689824,4.146850750512696,battle-room
1782299065932.0,-3.513829374453425,1.32131933042109,2.245651851633191,4.374452409669097,battle-room
1782299065949.0,-4.023432216756046,1.89120946816504,0.8138888637214898,4.519634403112426,battle-room
1782299065966.0,-3.2568180221676823,1.207789105091989,0.2466951254546642,3.4823090955310407,battle-room
1782299065982.0,-2.406568682037294,0.7908002490788698,0.731095429700613,2.6365580559955517,battle-room
1782299065999.0,-2.4646418085604904,1.1392438305236399,0.7032932305395603,2.804809640245354,battle-room
1782299066016.0,-3.1539331094935537,1.1331931521825491,0.9261585675954818,3.4769513185610768,battle-room
1782299066032.0,-3.341106078660488,1.7943610591761767,0.46020285157859325,3.8202759198978,battle-room
1782299066048.0,-2.7570760641440746,2.1532246200874448,0.22737083178162573,3.5056443320981625,battle-room
1782299066066.0,-2.7508675648927685,3.014213380897045,-0.8699632176429033,4.172480157557308,battle-room
1782299066082.0,-2.5101763560280204,2.534814830461144,-1.0114315434724093,3.7080001793714694,battle-room
1782299066099.0,-0.8541394794367253,0.9325852396421134,-0.3674678692579269,1.316929046861576,battle-room
1782299066116.0,1.0672927660997957,-0.32377529639527197,-0.5658458307892084,1.250650149061011,battle-room
1782299066132.0,1.0012120550140737,-0.005769523312151432,-1.0745347731173038,1.4687014145642434,battle-room
1782299066149.0,0.05309672635011375,1.9578817884683608,-2.5571669475227594,3.221059322252236,battle-room
1782299066166.0,-0.06909253318756818,2.9565178555145857,-4.25681924008727,5.183269397870036,battle-room
1782299066182.0,0.5573522893406451,2.3088607336096465,-3.8491678290009497,4.523004801838444,battle-room
1782299066199.0,1.7321702682010829,1.112866987990588,-2.1092332104086875,2.9474991954010767,battle-room
1782299066216.0,1.9142454758375882,0.020806495054811237,-0.5851309614956378,2.001785926142441,battle-room
1782299066232.0,1.5032510379336774,0.4386030141890049,-0.7664806313365697,1.7434531382628171,battle-room
